,text,emotion
0,eu sou admirada por muitos,alegria
1,me sinto completamente amado,alegria
2,amar e maravilhoso,alegria
3,estou me sentindo muito animado novamente,alegria
4,eu estou muito bem hoje,alegria
5,que belo dia para dirigir um carro novo,alegria
6,o dia esta muito bonito,alegria
7,estou contente com o resultado do teste que fiz no dia de ontem,alegria
8,o amor e lindo,alegria
9,nossa amizade e amor vai durar para sempre,alegria
10,estou amedrontado,medo
11,ele esta me ameacando a dias,medo
12,isso me deixa apavorada,medo
13,este lugar e apavorante,medo
14,se perdermos outro jogo seremos eliminados e isso me deixa com pavor,medo
15,tome cuidado com o lobisomem,medo
16,se eles descobrirem estamos encrencados,medo
17,estou tremendo de medo,medo
18,eu tenho muito medo dele,medo
19,estou com medo do resultado dos meus testes,medo
